desmos:LiteraryConstraint,rdfs:label@en,rdfs:label@it,rdfs:comment@en,rdfs:comment@it,desmos:constraintOrigin,desmos:constraintScope
literary_constraint_01,Heterogram,Eterogramma,Constraint requiring a word or letter string in which no letter is repeated (each grapheme occurs at most once).,Costrizione che impone la scrittura di una parola o stringa in cui nessuna lettera si ripete (ogni grafema può comparire al massimo una volta).,traditional,formal
literary_constraint_02,Anagram,Anagramma,"Constraint based on the rearrangement of the letters of a word or expression to form another, while preserving the same set of characters.","Costrizione che prevede la riorganizzazione delle lettere di una parola o espressione per formarne un’altra, mantenendo invariato l’insieme dei caratteri.",traditional,formal
literary_constraint_03,Regraphing,Rigrafia,"Constraint consisting in composing a derived text by reordering typographic lines taken from a source text, kept unchanged and used as combinatorial tiles.","Costrizione che consiste nel comporre un testo derivato riordinando righe tipografiche tratte da un testo base, mantenute inalterate e usate come tessere combinatorie.",original,formal
literary_constraint_04,Quatrain,Quartina,"Stanzaic constraint requiring the text to be organized into four-line stanzas, optionally following a predefined metrical/rhyme scheme.","Costrizione strofica che impone l’organizzazione del testo in strofe di quattro versi, eventualmente secondo uno schema metrico-rimico prefissato.",traditional,formal
literary_constraint_05,Alternating rhyme,Rima alternata,Rhyme constraint requiring an alternating rhyme pattern (typically ABAB) across adjacent lines within a stanza or section.,Costrizione rimica che impone un andamento alternato delle rime (tipicamente schema ABAB) tra versi contigui di una strofa o sezione.,traditional,formal
literary_constraint_06,Mythographic units,Mitografemi,Constraint that turns a sequence of mythological names into a poem through caesuras and punctuation: the names function as graphic units (graphemes).,Costrizione che trasforma una sequenza di nomi mitologici in componimento attraverso cesure e punteggiatura: i nomi funzionano come unità grafiche (grafemi).,original,formal
literary_constraint_07,Hendecasyllable,Endecasillabo,Metrical constraint requiring lines of eleven syllables according to Italian versification rules.,Costrizione metrica che impone l’uso di versi di undici sillabe secondo le regole della versificazione italiana.,traditional,formal
literary_constraint_08,Terzine,Terzina,"Stanzaic constraint requiring the text to be organized into three-line stanzas, optionally following a predefined metrical/rhyme scheme.","Costrizione strofica che impone l’organizzazione del testo in strofe di tre versi, eventualmente secondo uno schema metrico-rimico determinato.",traditional,formal
literary_constraint_09,Palindrome,Palindromo,Constraint requiring a linguistic sequence (word/sentence/text) to be identical when read forward and backward.,Costrizione che richiede la costruzione di una sequenza linguistica (parola/frase/testo) che risulti identica se letta da sinistra a destra e viceversa.,traditional,formal
literary_constraint_10,Cento,Centone,"Constraint consisting in composing a text by stitching together pre-existing lines or fragments from one or more sources/authors, with minimal alteration.","Costrizione che consiste nel comporre un testo assemblando versi o frammenti preesistenti tratti da uno o più testi/autori, con interventi minimi.",traditional,formal
literary_constraint_11,Fixed rhyme,Rima fissa,Rhyme constraint that fixes a predefined set of rhymes (ending sounds or rhyme-words) and their required placement/recurrence throughout the text.,Costrizione rimica che impone un insieme prefissato di rime (suoni finali o parole-rima) e la loro ricorrenza in posizioni determinate lungo il testo.,traditional,formal
literary_constraint_12,Homographic translation,Traduzione omografica,"Bilingual constraint that produces two texts, each in a different language, from the same written sequence: the same letter string is segmented differently (word breaks/punctuation), yielding two autonomous linguistic readings.","Costrizione bilingue che produce due testi, ciascuno in una lingua diversa, a partire da una medesima sequenza grafica: la stessa stringa di lettere viene segmentata in modi differenti (spaziatura/punteggiatura), generando due letture linguistiche autonome.",original,formal
