crm:E33,rdf:value
ling_obj_01,Il componimento è basato su di un eterogramma anagrammato cento volte in altrettante stringhe.
ling_obj_02,Rigrafia è la scrittura di un testo a partire da un altro testo dato.
ling_obj_03,Una semplice sequenza ininterrotta di nomi di personaggi mitologici [...] si trasforma in un componimento poetico.
ling_obj_04,"Canto tenero è costituito da 14 strofe, ciascuna di 4 endecasillabi a rima alterna, con schema metrico ABAB CDCD."
ling_obj_05,È parso interessante all’Autore «innestare il palindromo su una struttura: il sonetto».
ling_obj_06,"Estratte dalla Commedia e dal Canzoniere [...] tutte le rime in -ita [...] ho cercato di combinarle, tentando anche, quando possibile, di [...] alternare i versi dell’uno e dell’altro poeta."
ling_obj_07,"Mi son chiesta, però, cosa sarebbe successo se avessi preso una sola sequenza di lettere (un unico testo, dunque) e avessi provato a spezzare simultaneamente in due differenti modi tale sequenza, al fine di pervenire a parole diverse che, con aggiustamenti di punteggiatura, formassero due differenti testi, per di più bilingui."
ling_obj_08,La tecnica del «gioco dell’alfabeto raffigurato» richiama alla mente quella del «technopaegnion» (in greco «gioco d'arte»).
ling_obj_09,"Le regole sono: (1) la lunghezza di ogni testo è fissata in 25.586 caratteri (spazi inclusi); (2) per quanto riguarda le norme tipografiche si fa riferimento a quelle in uso nei volumi pubblicati dalla Casa Editrice Einaudi; (3) in ogni testo compaiono e agiscono quattro personaggi fissi e unici (O, P, L, E), ciascuno caratterizzato in modo esplicito da almeno un attributo che inizi con la lettera del proprio nome; (4) l’ambientazione scelta è Anghiari nell’anno 1996; (5) ogni testo deve contenere, in un punto qualsiasi della narrazione, la seguente frase: Ogni piccola luce evoca profonde oscurità; (6) il tema del racconto deve essere: mistery story o suspense; (7) il titolo del racconto, escluso dal computo dei caratteri del testo, deve essere di 13 lettere."
ling_obj_10,"Tutti i 151 versi che compongono il Cruccio sono indiscutibilmente di mano del poeta, poiché rintracciabili esattamente fra quelli dei cento canti tradizionali."
ling_obj_11,Restrizioni puramente quantitative sulla lunghezza dei brani […] in un caso una paginetta di una Moleskine […] nell’altro […] centosessanta caratteri degli SMS.
